Deal Status,Customer ID,Unit Type,Model Year,Model,ShortVIN,Inv. Prep. Stat.,Deal Completion,GPS Fix,GPS Fix Reason,PT Status,PT Serial ,Encore Serial,Moving,PT Last Read,State Loc,PT City,PT ZipCode,Lat,Long
ACTIVE,138457 ,Truck,2020,Cascadia PT126SLP,KW8940,  Available,23.08%,Fully Working,Properly working,Enabled,66762385,84321425,1,2025-12-05 06:00:00,NM,Springfield, 88435,37.214657,-93.381283
ACTIVE,138458 ,Truck,2019,T12664ST,LG4318,  Available,22.12%,Fully Working,Properly working,Enabled,66762246,84321743,1,2025-12-04 23:04:00,OK,Rogers County, 43162,39.962015,-83.316455
ACTIVE,138471 ,Truck,2019,Cascadia PT126SLP,KE3894,  Available,23.08%,Fully Working,Properly working,Enabled,66771885,84321728,1,2025-12-05 09:19:00,MO,Marengo, 52301,41.696098,-90.160455
ACTIVE,138572 ,Truck,2021,PT126SLP,MJ4828,  Available,20.19%,Fully Working,Properly working,Enabled,66771916,84321805,1,2025-12-05 04:17:00,CA,Wasco County, 95963,44.846338,-120.928223
ACTIVE,138619 ,Truck,2021,Cascadia PT126SLP,MU4212,  Available,20.19%,1x passtime,Driving disabled,Enabled,66762124,84276304,1,2025-12-05 06:54:00,CA,La Verne, 91750,34.119523,-117.779688
ACTIVE,138651 ,Truck,2021,T680 Tractor,464507,  Available,18.27%,Fully Working,Properly working,Enabled,66762150,84321788,1,2025-12-05 05:13:00,IN,Greenfield, 46140,39.835593,-85.925992
ACTIVE,138717 ,Truck,2020,Cascadia PT126SLP,LU4820,  Available,19.23%,Fully Working,Properly working,Enabled,66762144,84321735,1,2025-12-05 07:51:00,MD,Easton, 21601,39.849963,-76.078862
ACTIVE,138815 ,Truck,2023,Cascadia PT126SLP,NY3012,  Available,17.31%,Fully Working,Properly working,Enabled,26714155,83610391,1,2025-12-05 04:47:00,CA,Lathrop, 95330,37.813703,-119.745068
ACTIVE,138828 ,Truck,2020,Cascadia PT126SLP,LV8823,  Available,19.23%,Fully Working,Properly working,Enabled,66762171,84321185,-1,2025-12-05 06:15:00,CA,Fresno, 93722,36.80431,-119.866158
ACTIVE,138865 ,Truck,2021,PT126SLP,MG9735,  Available,12.18%,Fully Working,Properly working,Enabled,66771792,84321634,1,2025-12-05 08:33:00,IA,Philadelphia, 19120,40.0928349,-75.11329
ACTIVE,139003 ,Truck,2023,Cascadia PT126SLP,NW7938,  Available,10.90%,Fully Working,Properly working,Enabled,66771906,84321680,1,2025-12-05 02:05:00,CA,Needles, 92363,35.423063,-114.591435
ACTIVE,139008 ,Truck,2022,Cascadia 116,MV7435,  Available,16.35%,Fully Working,Properly working,Enabled,66771899,84321716,1,2025-12-05 04:15:00,PA,Sylvan Shores, 16254,41.2049007,-79.3831871
ACTIVE,139128 ,Truck,2021,T680 Sleeper Truck,468736,  Available,14.16%,1x passtime,Disconnected,Enabled,66770264,83641548 & 84436925,1,2025-12-05 09:33:00,WI,Menomonie, 54751,44.894838,-89.32643
ACTIVE,139402 ,Truck,2021,Cascadia PT126SLP,ML9605,  Available,14.42%,Fully Working,Properly working,Enabled,26736943,84321801,1,2025-12-05 07:21:00,NM,San Bernardino County, 87021,35.215857,-107.905322
ACTIVE,139496 ,Truck,2023,Cascadia PT126SLP,LK3367,  Available,8.33%,1x passtime,Disconnected,Enabled,66762346,84321715,1,2025-12-05 03:01:00,NM,Vegas Junction, 88435,35.018268,-104.827048
ACTIVE,139510 ,Truck,2021,Cascadia PT126SLP,MG5180,  Available,12.50%,Fully Working,Properly working,Enabled,66762201,84321723,1,2025-12-05 06:44:00,OH,Middletown, 45044,39.543962,-84.290072
ACTIVE,139559 ,Truck,2020,Cascadia T12664ST,LY7770,  Available,11.54%,Fully Working,Properly working,Enabled,66771878,84321703,1,2025-12-05 00:56:00,CA,San Bernardino, 92407,34.201322,-117.376155
ACTIVE,139577 ,Truck,2023,PT126SLP,UR9591,  Available,7.69%,Fully Working,Properly working,Enabled,66770571,84352822,1,2025-12-05 06:05:00,IN,Willington, 06279,41.891135,-72.300852
ACTIVE,139841 ,Truck,2023,Cascadia PT126SLP,NW7794,  Available,9.62%,Fully Working,Properly working,Enabled,66770567,84352803,1,2025-12-05 07:20:00,NM,San Jon, 93308,35.532498,-103.333268
ACTIVE,139843 ,Truck,2021,Cascadia PT126SLP,MD4394,  Available,9.62%,Fully Working,Properly working,Enabled,66770580,84352763,1,2025-12-05 05:23:00,CA,Redlands, 92373,34.155823,-117.219417
ACTIVE,139878 ,Truck,2021,Cascadia T12664ST,MS0016,  Available,5.13%,Fully Working,Properly working,Enabled,66762340,84352867,1,2025-12-05 09:21:00,MA,Kalama, 98625,45.977348,-116.758853
ACTIVE,139964 ,Truck,2022,T12664ST,NP6410,  Available,7.69%,Fully Working,Properly working,Enabled,66770579,84352860,1,2025-12-05 01:03:00,KY,Clarksville, 72616,36.713583,-86.502138
ACTIVE,140098 ,Truck,2022,Cascadia PT126SLP,NB8881,  Available,4.49%,Fully Working,Properly working,Enabled,66770593,84320823,1,2025-12-04 22:13:00,CA,Riverside, 93505,35.013787,-117.300212
ACTIVE,140332 ,Truck,2022,T680 Tractor,472606,  Available,3.85%,Fully Working,Properly working,Enabled,66762094,84321021,-1,2025-12-05 05:10:00,PA,Upper Macungie Township, 46933,40.572367,-75.626205
ACTIVE,140560 ,Truck,2021,Peterbilt 579 Sleeper Truck,765328,  Available,0.00%,Fully Working,Properly working,Enabled,6677142,84352759,1,2025-12-05 04:29:00,MA,Oklahoma City, 73127,35.4658362,-97.615608
ACTIVE,141265 ,Truck,2023,PT126SLP,UE0760,  Available,0.00%,Fully Working,Properly working,Enabled,66771350,84471623,1,2025-12-05 08:56:00,NE,Hayne, 88431,37.076688,-100.848682
ACTIVE,141392 ,Truck,2023,PT126SLP,NV7080,  Available,0.00%,Fully Working,Properly working,Enabled,66771334,84321109,-1,2025-12-05 03:57:00,NE,Fort Worth,"th, TX",32.838032,-97.330713
ACTIVE,27142 ,Truck,2020,Cascadia PT126SLP,KD2328,  Available,8.33%,Fully Working,Properly working,Enabled,66271107,84321635,1,2025-12-05 02:12:00,PA,Town of Lisle, 18346,42.393207,-75.402155
ACTIVE,47546 ,Truck,2018,Cascadia PT126SLP,JJ1988,  Available,54.17%,Fully Working,Properly working,Enabled,26737325,82218143/84056383,1,2025-12-05 07:48:00,PA,Wadsworth, 18222,41.032493,-74.1922
ACTIVE,61629 ,SUV,2023,Escalade,217350,  Available,70.83%,1x encore,Never installed,Enabled,26342495,83108804,-1,2025-12-04 03:28:00,NJ,East Orange, 07018,40.756913,-74.230688
ACTIVE,70309 ,SUV,2025,Escalade ESV,193382,  Available,14.58%,1x passtime,Driving disabled,Enabled,66762309,84276306,-1,2025-12-05 06:59:00,NY,New York, 11369,40.76368,-73.871472
ACTIVE,72039 ,Truck,2022,T680 Sleeper Truck,479435,  Available,86.67%,1x encore,1x Moved,Enabled,26280657,82016608,1,2025-12-05 04:52:00,PA,Paint, 16254,41.197662,-76.428878
ACTIVE,75656 ,Truck,2022,Cascadia PT126SLP,NA9408,  Available,91.43%,Fully Working,Properly working,"",,84230095,1,2025-12-05 04:56:00,IN,Indianapolis, 46239,39.81777,-85.927685
ACTIVE,76049 ,Truck,2023,T680 Sleeper Truck,238011,  Available,89.58%,Fully Working,Properly working,Enabled,66771901,82193742,1,2025-12-04 21:40:00,PA,Quakertown,"ip, PA",40.575453,-75.425553
ACTIVE,83336 ,Full Van,2021,Sprinter,013840,  Available,86.67%,2x encores,"1x discharging
1x never installed",Enabled,66254268,82067988,-1,2025-12-04 18:06:00,NY,New York, 10033,40.847392,-73.933342
ACTIVE,85143 ,Truck,2022,T680 Sleeper Truck,138774,  Available,85.00%,Fully Working,Properly working,Enabled,66762330,84321100,1,2025-12-05 05:48:00,IN,Mount Comfort, 46140,39.83512,-85.92544
ACTIVE,87873 ,Truck,2022,T680 Sleeper Truck,496342,  Available,83.33%,2x encores,"1x discharging
1x never installed",Enabled,66271313,82079369,1,2025-12-04 19:07:00,NJ,Cherry Hill Township, 08034,39.884612,-75.003492
ACTIVE,89186 ,Truck,2022,W900L Sleeper w/APU,121308,  Available,81.67%,2x encores,"1x removed
1x never installed",Enabled,66271550,82117109,1,2025-12-05 03:22:00,IN,Indianapolis, 46241,39.732495,-86.256803
ACTIVE,89482 ,Truck,2022,VNL64T860,602033,  Available,81.67%,2x encores,"1x removed
1x never installed",Enabled,66271395,82102682,1,2025-12-04 22:53:00,NE,Raphine, 24472,37.929867,-79.22915
ACTIVE,90747 ,Truck,2020,Cascadia PT126SLP,KS3752,  Available,16.67%,Fully Working,Properly working,Enabled,66771866,83222029,1,2025-12-05 05:13:00,TX,Pecos County, 78155,32.884412,-98.099957
ACTIVE,90747 ,Truck,2020,Cascadia PT126SLP,LR0278,  Available,37.50%,1x passtime,Driving disabled,Enabled,66757918,84276324,1,2025-12-05 09:15:00,IL,Niles, 60714,42.008357,-87.769095
ACTIVE,93027 ,Truck,2022,T680 Sleeper Truck,167024,  Available,78.07%,2x encores,"1x discharging
1x never installed",Enabled,66277804,82160504,1,2025-12-05 02:29:00,TX,Salado, 76571,30.864022,-97.587158
ACTIVE,93046 ,Truck,2022,T680 Sleeper Truck,163358,  Available,78.33%,2x encores,"1x moved to acc
1x never installed",Enabled,66277796,82159089,1,2025-12-04 20:44:00,CO,Fort Collins, 80524,40.61709,-105.005322
ACTIVE,93705 ,Truck,2022,Cascadia PT126SLP,ND0314,  Available,85.19%,2x encores,"1x discharged
1x moved to acc",Enabled,66277823,82158303,1,2025-12-05 05:15:00,CA,French Camp, 95231,37.893567,-121.27487
ACTIVE,94432 ,Truck,2022,T680 Sleeper Truck,125545,  Available,85.19%,Fully Working,Properly working,Enabled,26724694,82157679,1,2025-12-05 03:39:00,PA,Yardley, 07036,40.61296,-74.215698
ACTIVE,95549 ,Truck,2022,T880,143713,  Available,75.00%,1x encore,1x Moved,Enabled,66277772,82157558,1,2025-12-05 08:24:00,NY,New York, 11101,40.751598,-73.933813
ACTIVE,95776 ,Truck,2022,Cascadia PT126SLP,NE7520,  Available,93.75%,2x encores,Working Passtime only,Enabled,66278275,82144244,1,2025-12-04 09:39:00,AL,Caddo County, 73048,35.52959,-98.510042
ACTIVE,96051 ,Sedan,2018,GLS Class,179563,  Available,93.75%,1x encore,Never installed,Enabled,26317206,82144679,-1,2025-12-05 04:10:00,NY,East Meadow, 11554,40.71947,-73.550382
ACTIVE,96056 ,Truck,2022,Cascadia PT126SLP,NM1482,  Out for Repo,91.67%,2x encores,"1x discharged
1x never installed",Enabled,26317215,82144881,1,2025-12-04 08:38:00,IN,Tucumcari, 88401,35.157755,-103.704655
ACTIVE,96190 ,Truck,2022,Cascadia PT126SLP,NE7516,  Available,73.25%,2x encores,"1x Moved acc
1x Never installed",Enabled,66278282,82139191,1,2025-12-04 09:52:00,CA,Fresno, 93722,36.805497,-119.877865
ACTIVE,96743 ,Truck,2021,Cascadia PT126SLP,MD4449,  Available,87.50%,Fully Working,Properly working,Enabled,66771840,84321668,-1,2025-12-05 03:33:00,TX,Houston, 77013,29.800813,-95.266025
ACTIVE,96812 ,Truck,2022,Cascadia PT126SLP,MX1060,  Available,91.67%,2x encores,"1x discharged
1x never installed",Enabled,26317123,82155046,1,2025-12-04 16:12:00,GA,Woodland Hills Mobile Home Park, 30321,33.622637,-84.426482
ACTIVE,96882 ,Truck,2020,Cascadia PT126SLP,LM5402,  Available,91.67%,1x passtime,Driving disabled,Enabled,26317261,84091084,-1,2025-12-05 02:44:00,CA,Riverside, 92509,34.137198,-117.43488
ACTIVE,97318 ,Truck,2022,Cascadia PT126SLP,NE7519,  Available,75.93%,2x encores,"1x low
1x moved",Enabled,26317205,82157425,1,2025-12-04 22:59:00,CA,Tulare, 93274,36.190352,-119.328695
ACTIVE,97438 ,Truck,2020,Cascadia PT126SLP,LR3976,  Available,91.67%,2x encores,"1x discharged
1x never installed",Enabled,26317188,82156344,1,2025-12-03 11:34:00,MA,Parma Township, 49269,42.264665,-84.622883
ACTIVE,97574 ,Truck,2020,Cascadia PT126SLP,KD2430,  Available,91.67%,2x encores,"1x Moved acc
1x Never installed",Enabled,26317289,82144660,1,2025-12-05 01:00:00,OR,Taylor Township, 16689,40.059815,-78.082642
ACTIVE,97615 ,Truck,2023,T680 Sleeper Truck,218844,  Available,91.67%,All,no GPS,Enabled,26317155,82155997,1,2025-12-04 20:27:00,CA,, 93030,34.213415,-119.137548
ACTIVE,99093 ,Truck,2020,Cascadia PT126SLP,KS3785,  Available,87.50%,2x encores,"1x discharged
1x never installed",Enabled,66278190,82192830,1,2025-12-04 23:43:00,VA,Bowmans Crossing, 22824,38.814148,-78.593555
