Installation Company,Email,Phone,State,Zip,City,Notes
CB Direct,rect.net,866-716-,Texas (TX),76227,Aubrey,
CB Direct,rect.net,866-716-,Texas (TX),77518,Bacliff,
CB Direct,rect.net,866-716-,Texas (TX),76207,Denton,
CB Direct,rect.net,866-716-,Texas (TX),76109,Fort Worth,
CB Direct,rect.net,866-716-,Texas (TX),78557,Hidalgo,
CB Direct,rect.net,866-716-,Texas (TX),78861,Hondo,
CB Direct,rect.net,866-716-,Texas (TX),77038,Houston,
CB Direct,rect.net,866-716-,Texas (TX),77065,Houston,
CB Direct,rect.net,866-716-,Texas (TX),76542,Killeen,
CB Direct,rect.net,866-716-,Texas (TX),77571,LaPorte,
CB Direct,rect.net,866-716-,Texas (TX),77573,League City,
CB Direct,rect.net,866-716-,Texas (TX),77351,Livingston,
CB Direct,rect.net,866-716-,Texas (TX),77505,Pasadena,
CB Direct,rect.net,866-716-,Texas (TX),75080,Richardson,
CB Direct,rect.net,866-716-,Texas (TX),78251,San Antonio,
CB Direct,rect.net,866-716-,Texas (TX),77586,Seabrook,
CB Direct,rect.net,866-716-,Texas (TX),77598,Webster,
David Vargas (Independent),mail.com,915-422-,Texas (TX),N/A,El Paso,
Elaina Doral,mail.com,(480) 47,Texas (TX),N/A,Hutchins,
Field Evolution,tion.com,614-600-,Texas (TX),77365,New Caney,$125 trip fee
Field Evolution,tion.com,614-600-,Texas (TX),79762,Odessa,$125 trip fee
Field Evolution,tion.com,614-600-,Texas (TX),77362,Pinehurst,$125 trip fee
Field Evolution,tion.com,614-600-,Texas (TX),75861,Teague,$125 trip fee
Metro Mobile Electronics Inc.,egps.com,866-246-,Texas (TX),75410,Alba (Tyler/Shreveport),
Metro Mobile Electronics Inc.,egps.com,866-246-,Texas (TX),77346,Atascocita,
Metro Mobile Electronics Inc.,egps.com,866-246-,Texas (TX),76210,Corinth,
Metro Mobile Electronics Inc.,egps.com,866-246-,Texas (TX),78404,Corpus Christi,
Metro Mobile Electronics Inc.,egps.com,866-246-,Texas (TX),75241,Dallas,
Metro Mobile Electronics Inc.,egps.com,866-246-,Texas (TX),76016,Dalworthington Gardens (Headquarters),
Metro Mobile Electronics Inc.,egps.com,866-246-,Texas (TX),76039,Euless,
Metro Mobile Electronics Inc.,egps.com,866-246-,Texas (TX),75022,Flower Mound,
Metro Mobile Electronics Inc.,egps.com,866-246-,Texas (TX),76111,Fort Worth,
Metro Mobile Electronics Inc.,egps.com,866-246-,Texas (TX),75044,Garland,
Metro Mobile Electronics Inc.,egps.com,866-246-,Texas (TX),75052,Grand Prairie,
Metro Mobile Electronics Inc.,egps.com,866-246-,Texas (TX),76051,Grapevine,
Metro Mobile Electronics Inc.,egps.com,866-246-,Texas (TX),76117,Haltom City,
Metro Mobile Electronics Inc.,egps.com,866-246-,Texas (TX),77038,Houston,
Metro Mobile Electronics Inc.,egps.com,866-246-,Texas (TX),77047,Houston,
Metro Mobile Electronics Inc.,egps.com,866-246-,Texas (TX),75038,Irving,
Metro Mobile Electronics Inc.,egps.com,866-246-,Texas (TX),75142,Kaufman,
Metro Mobile Electronics Inc.,egps.com,866-246-,Texas (TX),77339,Kingwood,
Metro Mobile Electronics Inc.,egps.com,866-246-,Texas (TX),79705,Midland,
Metro Mobile Electronics Inc.,egps.com,866-246-,Texas (TX),76182,North Richland Hills,
Metro Mobile Electronics Inc.,egps.com,866-246-,Texas (TX),78207,San Antonio,
Metro Mobile Electronics Inc.,egps.com,866-246-,Texas (TX),78245,San Antonio,
Metro Mobile Electronics Inc.,egps.com,866-246-,Texas (TX),75143,Seven Points (Kaufman/Athens),
Metro Mobile Electronics Inc.,egps.com,866-246-,Texas (TX),76092,Southlake,
Metro Mobile Electronics Inc.,egps.com,866-246-,Texas (TX),75702,Tyler,
OEM Installation (Alex Mota),N/A,630-940-,Texas (TX),N/A,Dallas,
SureTrac Installation (Jeromy),N/A,404-455-,Texas (TX),N/A,Dallas,Does not want to work with us
SureTrac Installation (Jeromy),N/A,404-455-,Texas (TX),N/A,Houston,Does not want to work with us
Billy Holt,,210-724-,Texas (TX),78259,San Antonio,
TSCMUSA,musa.com,629-254-,Texas (TX),79924,El Paso,
TSCMUSA,musa.com,629-254-,Texas (TX),75042,Garland,
TSCMUSA,musa.com,629-254-,Texas (TX),78641,Leander,
TSCMUSA,musa.com,629-254-,Texas (TX),78572,Palmview,
TSCMUSA,musa.com,629-254-,Texas (TX),77365,Porter,
TSCMUSA,musa.com,629-254-,Texas (TX),77365,Porter,
TSCMUSA,musa.com,629-254-,Texas (TX),75501,Texarkana,
CB Direct,rect.net,866-716-,Utah (UT),84015,Clinton,
CB Direct,rect.net,866-716-,Utah (UT),84129,Taylosville,
Jimmy,mail.com,404-455-,Utah (UT),N/A,Salt Lake,
SureTrac Installation (Jeromy),N/A,404-455-,Utah (UT),N/A,Salt Lake,Does not want to work with us
Dave Walter (Independent),tllc.com,203-843-,Vermont (VT),N/A,N/A,
TSCMUSA,musa.com,629-254-,Virginia (VA),20147,Ashburn,
TSCMUSA,musa.com,629-254-,Virginia (VA),24401,Staunton,
TSCMUSA,musa.com,629-254-,Virginia (VA),22172,Triangle,
TSCMUSA,musa.com,629-254-,Virginia (VA),23487,Windsor,
TSCMUSA,musa.com,629-254-,Virginia (VA),22193,Woodbridge,
CB Direct,rect.net,866-716-,Virginia (VA),23435,Suffolk,
Field Evolution,tion.com,614-600-,Virginia (VA),24401,Staunton,$125 trip fee
Metro Mobile Electronics Inc.,egps.com,866-246-,Virginia (VA),22406,Fredericksburg,
SureTrac Installation (Jeromy),N/A,404-455-,Virginia (VA),N/A,Richmond,Does not want to work with us
A2Z Mobile installations - Steve Boland,tion.com,845-476-,Virginia (VA),22191,Woodbriudge,
CB Direct,rect.net,866-716-,Washington (WA),98321,Buckley,
TruckTrailerRepairs,look.com,509-851-,Washington (WA),,Pasco,
CB Direct,rect.net,866-716-,Washington (WA),98042,Kent,
CB Direct,rect.net,866-716-,Washington (WA),98686,Vancouver,
Matthew Zuniga (Independent),N/A,503-708-,Washington (WA),N/A,N/A,Based in Portland; serves WA & OR (3 hrs away)
TSCMUSA,musa.com,629-254-,Wisconsin (WI),54720,Altoona,
Field Evolution,tion.com,614-600-,Wisconsin (WI),54720,Altoona,$125 trip fee
OEM Installation (Alex Mota),N/A,630-940-,Wisconsin (WI),N/A,Milwaukee,
Premium Sond & Security,obal.net,847-838-,Wisconsin (WI),,Sturtevant,Expensives
